Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2003-05-15 20:00:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,TENDERLOIN,NONE,0 Block of TURK ST,-122.40984944165501,37.78327552025671
2003-05-15 20:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,NORTHERN,UNFOUNDED,1400 Block of STEINER ST,-122.434189563986,37.7826346137885
2003-05-15 20:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,NORTHERN,"ARREST, BOOKED",400 Block of FULTON ST,-122.42583948035299,37.7784863750012
2003-05-15 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,TAYLOR ST / CALIFORNIA ST,-122.412463308942,37.7916282843839
2003-05-15 20:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,NORTHERN,UNFOUNDED,1400 Block of STEINER ST,-122.434189563986,37.7826346137885
2003-05-15 20:00:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Thursday,SOUTHERN,NONE,3RD ST / HOWARD ST,-122.40047358016001,37.7850290611645
2003-05-15 20:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,TARAVAL,NONE,200 Block of BRIGHTON AV,-122.455062275977,37.7227781880858
2003-05-15 19:50:00,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,INGLESIDE,NONE,0 Block of BROOKDALE AV,-122.420864146521,37.71219982598
2003-05-15 19:45:00,WEAPON LAWS,LOITERING WHILE CARRYING CONCEALED WEAPON,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of LANGTON ST,-122.407470899419,37.7755204237187
2003-05-15 19:45:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of LANGTON ST,-122.407470899419,37.7755204237187
2003-05-15 19:45:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,MISSION,NONE,14TH ST / VALENCIA ST,-122.42220157980101,37.7681403836559
2003-05-15 19:45:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,MISSION,NONE,14TH ST / VALENCIA ST,-122.42220157980101,37.7681403836559
2003-05-15 19:45:00,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,NORTHERN,NONE,1700 Block of BUSH ST,-122.42607717737499,37.788018555829
2003-05-15 19:42:00,ARSON,ARSON OF A VEHICLE,Thursday,BAYVIEW,NONE,1300 Block of CARROLL AV,-122.388667171578,37.7223782958446
2003-05-15 19:40:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,RICHMOND,NONE,300 Block of 24TH AV,-122.483799574431,37.7829890759904
2003-05-15 19:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,MISSION,NONE,1300 Block of VALENCIA ST,-122.420515424398,37.751293704984796
2003-05-15 19:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,2ND ST / FEDERAL ST,-122.393085748407,37.7826509862064
2003-05-15 19:30:00,TRESPASS,TRESPASSING,Thursday,SOUTHERN,NONE,100 Block of 9TH ST,-122.413980520967,37.7755687325824
2003-05-15 19:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,MISSION,NONE,1300 Block of VALENCIA ST,-122.420515424398,37.751293704984796
2003-05-15 19:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,BAYVIEW,"ARREST, CITED",WISCONSIN ST / CONNECTICUT ST,-122.39859580992099,37.753684153146295
2003-05-15 19:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,CENTRAL,NONE,600 Block of COMMERCIAL ST,-122.40390478866699,37.7941711832627
2003-05-15 19:25:00,NON-CRIMINAL,"AIDED CASE, DOG BITE",Thursday,NORTHERN,NONE,VAN NESS AV / OFARRELL ST,-122.42119522182199,37.78475365773321
2003-05-15 19:19:00,NON-CRIMINAL,"AIDED CASE, SICK PERSON",Thursday,BAYVIEW,NONE,1200 Block of NEWHALL ST,-122.39131674967501,37.7365594026335
2003-05-15 19:15:00,WARRANTS,WARRANT ARREST,Thursday,NORTHERN,"ARREST, BOOKED",PAGE ST / WEBSTER ST,-122.428991906345,37.7732458652036
2003-05-15 19:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,NORTHERN,"ARREST, BOOKED",PAGE ST / WEBSTER ST,-122.428991906345,37.7732458652036
2003-05-15 19:08:00,OTHER OFFENSES,RESISTING ARREST,Thursday,NORTHERN,"ARREST, CITED",BUCHANAN ST / LILY ST,-122.427455641527,37.7739220144235
2003-05-15 19:07:00,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,Thursday,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452706340322,37.769215670589396
2003-05-15 19:07:00,WARRANTS,WARRANT ARREST,Thursday,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452706340322,37.769215670589396
2003-05-15 19:07:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Thursday,PARK,"ARREST, BOOKED",1800 Block of HAIGHT ST,-122.452706340322,37.769215670589396
2003-05-15 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,BAYVIEW,NONE,7TH ST / HOOPER ST,-122.398182124033,37.7690432950422
2003-05-15 19:00:00,VEHICLE THEFT,STOLEN TRUCK,Thursday,INGLESIDE,NONE,0 Block of STONEYBROOK AV,-122.42177189677601,37.7300578069297
2003-05-15 19:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Thursday,INGLESIDE,NONE,0 Block of STONEYBROOK AV,-122.42177189677601,37.7300578069297
2003-05-15 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Thursday,RICHMOND,NONE,200 Block of CLEMENT ST,-122.461749405491,37.7830075842759
2003-05-15 19:00:00,MISSING PERSON,MISSING ADULT,Thursday,TARAVAL,LOCATED,100 Block of DENSLOWE DR,-122.47436904191099,37.7220984307697
2003-05-15 18:58:00,OTHER OFFENSES,PROBATION VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2003-05-15 18:58:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2003-05-15 18:52:00,WARRANTS,WARRANT ARREST,Thursday,BAYVIEW,"ARREST, BOOKED",1500 Block of THOMAS AV,-122.390332083069,37.729937519957204
2003-05-15 18:50:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,TARAVAL,NONE,LAWTON ST / 33RD AV,-122.491734699142,37.7573029165939
2003-05-15 18:45:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,BAYVIEW,"ARREST, CITED",1000 Block of OAKDALE AV,-122.380268162997,37.7289171340996
2003-05-15 18:43:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TARAVAL,NONE,1200 Block of 12TH AV,-122.46965572250299,37.764818168552
2003-05-15 18:40:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,SOUTHERN,"ARREST, BOOKED",0 Block of LANGTON ST,-122.409202487854,37.77689582101829
2003-05-15 18:39:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of NEW MONTGOMERY ST,-122.400272577535,37.7871789681666
2003-05-15 18:39:00,FRAUD,"CREDIT CARD, THEFT OF",Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of NEW MONTGOMERY ST,-122.400272577535,37.7871789681666
2003-05-15 18:35:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Thursday,CENTRAL,"ARREST, CITED",400 Block of BUSH ST,-122.405173680156,37.790560143321
2003-05-15 18:35:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,CENTRAL,"ARREST, CITED",400 Block of BUSH ST,-122.405173680156,37.790560143321
2003-05-15 18:30:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Thursday,INGLESIDE,"ARREST, BOOKED",3800 Block of MISSION ST,-122.42465342761999,37.7357232809376
2003-05-15 18:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,TENDERLOIN,NONE,OFARRELL ST / STOCKTON ST,-122.406401668342,37.7866144613136
2003-05-15 18:25:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,NORTHERN,"ARREST, CITED",3100 Block of FILLMORE ST,-122.43579598944599,37.7982569877565
2003-05-15 18:25:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,NORTHERN,"ARREST, CITED",3100 Block of FILLMORE ST,-122.43579598944599,37.7982569877565
2003-05-15 18:20:00,SEX OFFENSES FORCIBLE,ENGAGING IN LEWD ACT,Thursday,INGLESIDE,COMPLAINANT REFUSES TO PROSECUTE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029
2003-05-15 18:15:00,NON-CRIMINAL,LOST PROPERTY,Thursday,TARAVAL,NONE,TARAVAL ST / 46TH AV,-122.504618718637,37.7417618186593
2003-05-15 18:10:00,WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.41133956255699,37.7812707434494
2003-05-15 18:10:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.446612978839,37.7822458223917
2003-05-15 18:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,CENTRAL,NONE,BECKETT ST / PACIFIC AV,-122.40652840065901,37.796943502237504
2003-05-15 18:00:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,MISSION,NONE,3000 Block of 21ST ST,-122.41616767094,37.757144758607296
2003-05-15 18:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,100 Block of STATES ST,-122.43903658021,37.7635175547636
2003-05-15 18:00:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Thursday,NORTHERN,NONE,0 Block of BELCHER ST,-122.430233400692,37.7685230217392
2003-05-15 18:00:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Thursday,CENTRAL,NONE,800 Block of WASHINGTON ST,-122.40715604429,37.7951133231133
2003-05-15 18:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,CENTRAL,NONE,BECKETT ST / PACIFIC AV,-122.40652840065901,37.796943502237504
2003-05-15 18:00:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Thursday,MISSION,NONE,2300 Block of FOLSOM ST,-122.41483349405199,37.75967793721461
2003-05-15 18:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE,600 Block of VERMONT ST,-122.40426442135201,37.7614567978278
2003-05-15 17:50:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Thursday,CENTRAL,NONE,800 Block of WASHINGTON ST,-122.40715604429,37.7951133231133
2003-05-15 17:45:00,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Thursday,TARAVAL,NONE,2200 Block of TARAVAL ST,-122.490170246651,37.7424682353625
2003-05-15 17:45:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,SOUTHERN,NONE,1600 Block of MISSION ST,-122.419230534198,37.7720332586406
2003-05-15 17:33:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.41251534136299,37.7804777480279
2003-05-15 17:33:00,OTHER OFFENSES,RESISTING ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.41251534136299,37.7804777480279
2003-05-15 17:30:00,LIQUOR LAWS,POSSESSION OF ALCOHOL BY MINOR,Thursday,TENDERLOIN,NONE,500 Block of ELLIS ST,-122.415436031905,37.784585134714
2003-05-15 17:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,BAYVIEW,NONE,3RD ST / QUESADA AV,-122.391245623062,37.733225203311896
2003-05-15 17:23:00,SECONDARY CODES,DOMESTIC VIOLENCE,Thursday,TARAVAL,"ARREST, BOOKED",0 Block of DE LONG ST,-122.458369929336,37.7097257872629
2003-05-15 17:23:00,ASSAULT,BATTERY,Thursday,TARAVAL,"ARREST, BOOKED",0 Block of DE LONG ST,-122.458369929336,37.7097257872629
2003-05-15 17:18:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.412054141237,37.7816136403158
2003-05-15 17:18:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.412054141237,37.7816136403158
2003-05-15 17:00:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,NORTHERN,"ARREST, BOOKED",1200 Block of MCALLISTER ST,-122.432612021991,37.7785794811344
2003-05-15 17:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Thursday,SOUTHERN,NONE,7TH ST / MINNA ST,-122.410405602143,37.7787841485804
2003-05-15 17:00:00,VEHICLE THEFT,STOLEN TRUCK,Thursday,SOUTHERN,NONE,7TH ST / MINNA ST,-122.410405602143,37.7787841485804
2003-05-15 17:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,INGLESIDE,NONE,200 Block of ELLINGTON AV,-122.44465649127899,37.7139034348889
2003-05-15 17:00:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,NORTHERN,"ARREST, BOOKED",1200 Block of MCALLISTER ST,-122.432612021991,37.7785794811344
2003-05-15 17:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,1300 Block of 42ND AV,-122.501772901422,37.7615234046865
2003-05-15 17:00:00,VEHICLE THEFT,STOLEN TRUCK,Thursday,NORTHERN,NONE,400 Block of WEBSTER ST,-122.42916118679199,37.7744438300793
2003-05-15 17:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Thursday,RICHMOND,NONE,200 Block of 11TH AV,-122.469768510186,37.7836226035018
2003-05-15 17:00:00,VEHICLE THEFT,STOLEN TRUCK,Thursday,RICHMOND,NONE,200 Block of 11TH AV,-122.469768510186,37.7836226035018
2003-05-15 17:00:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Thursday,NORTHERN,NONE,1500 Block of FILLMORE ST,-122.432880595215,37.7838255788976
2003-05-15 17:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Thursday,NORTHERN,NONE,400 Block of WEBSTER ST,-122.42916118679199,37.7744438300793
2003-05-15 17:00:00,NON-CRIMINAL,LOST PROPERTY,Thursday,NORTHERN,NONE,100 Block of GG BRIDGE HY,-122.474989273436,37.80658199872111
2003-05-15 16:55:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of TAYLOR ST,-122.41055128181002,37.78250255901021
2003-05-15 16:55:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of TAYLOR ST,-122.41055128181002,37.78250255901021
2003-05-15 16:55:00,OTHER OFFENSES,RESISTING ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of TAYLOR ST,-122.41055128181002,37.78250255901021
2003-05-15 16:55:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,CENTRAL,"ARREST, BOOKED",1000 Block of HYDE ST,-122.417368206741,37.790509415159505
2003-05-15 16:51:00,SEX OFFENSES FORCIBLE,CHILD ABUSE SEXUAL,Thursday,INGLESIDE,NONE,100 Block of CORA ST,-122.409129097129,37.71086301743671
2003-05-15 16:51:00,ASSAULT,CHILD ABUSE (PHYSICAL),Thursday,INGLESIDE,NONE,100 Block of CORA ST,-122.409129097129,37.71086301743671
2003-05-15 16:44:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.426955631709,37.769247063207004
2003-05-15 16:40:00,WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.40891322980801,37.781211650766295
2003-05-15 16:40:00,SECONDARY CODES,GANG ACTIVITY,Thursday,MISSION,"ARREST, BOOKED",2400 Block of MISSION ST,-122.418887293065,37.757621721202895
2003-05-15 16:40:00,SECONDARY CODES,PREJUDICE-BASED INCIDENT,Thursday,SOUTHERN,"ARREST, BOOKED",0 Block of NEW MONTGOMERY ST,-122.401817240144,37.788440503956
2003-05-15 16:40:00,WARRANTS,WARRANT ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-05-15 16:40:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,"ARREST, BOOKED",2400 Block of MISSION ST,-122.418887293065,37.757621721202895
2003-05-15 16:40:00,ASSAULT,THREATS AGAINST LIFE,Thursday,SOUTHERN,"ARREST, BOOKED",0 Block of NEW MONTGOMERY ST,-122.401817240144,37.788440503956
2003-05-15 16:37:00,SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Thursday,NORTHERN,JUVENILE ADMONISHED,1400 Block of STEINER ST,-122.434326225559,37.7826171942594
2003-05-15 16:36:00,ASSAULT,BATTERY,Thursday,INGLESIDE,NONE,300 Block of VIENNA ST,-122.428732393148,37.7228216788318
2003-05-15 16:36:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,INGLESIDE,NONE,300 Block of VIENNA ST,-122.428732393148,37.7228216788318
2003-05-15 16:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,BAYVIEW,NONE,800 Block of DWIGHT ST,-122.411466711198,37.7215324399045
2003-05-15 16:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE,800 Block of DWIGHT ST,-122.411466711198,37.7215324399045
2003-05-15 16:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,RICHMOND,NONE,4300 Block of GEARY BL,-122.465904997978,37.7810713659923
2003-05-15 16:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
2003-05-15 16:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE,200 Block of TOWNSEND ST,-122.394491170773,37.777554028625204
2003-05-15 16:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-05-15 16:29:00,OTHER OFFENSES,PAROLE VIOLATION,Thursday,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.41251534136299,37.7804777480279
2003-05-15 16:25:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413069926397,37.7820204255866
2003-05-15 16:14:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.41222416474301,37.782072931180004
2003-05-15 16:10:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Thursday,NORTHERN,"ARREST, BOOKED",1600 Block of VAN NESS AV,-122.42225346581002,37.790862723962604
2003-05-15 16:10:00,WARRANTS,WARRANT ARREST,Thursday,NORTHERN,"ARREST, BOOKED",1600 Block of VAN NESS AV,-122.42225346581002,37.790862723962604
2003-05-15 16:10:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,NORTHERN,"ARREST, BOOKED",1600 Block of VAN NESS AV,-122.42225346581002,37.790862723962604
2003-05-15 16:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,NORTHERN,NONE,VAN NESS AV / EDDY ST,-122.42081833045201,37.782894645068296
2003-05-15 16:00:00,VEHICLE THEFT,STOLEN TRUCK,Thursday,INGLESIDE,NONE,HEARST AV / FOERSTER ST,-122.448860461572,37.7306902868986
